"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU1241","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU1257","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1259","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU1270","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU1272","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1273","Bacteria","Acidobacteria","Acidobacteria_Gp1",NA,NA,NA,NA
"OTU1281","Bacteria","Actinobacteria","Actinobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter",NA
"OTU1283","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU1285","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella",NA
"OTU1286","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU1300","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1312","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Roseiarcaceae","Roseiarcus",NA
"OTU1315","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae",NA,NA
"OTU1317","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU1325","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU1334","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU1335","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU1342","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1358","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1359","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"OTU1362","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU1369","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"OTU1372","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU1377","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU1385","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1397","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA
"OTU1399","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces",NA
"OTU1403","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU1406","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1410","Bacteria","Acidobacteria","Acidobacteria_Gp1","","","Gp1",NA
"OTU1414","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium",NA
"OTU1425","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU1430","Bacteria","Acidobacteria","Acidobacteria_Gp1","","","Gp1",NA
"OTU1431","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU1441","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1442","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU1444","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU1451","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1461","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU1469","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1470","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"OTU1475","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"OTU1480","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU1482","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1484","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1486","Bacteria","Acidobacteria","Acidobacteria_Gp2","","","Gp2",NA
"OTU1488","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU1493","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU1516","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU1517","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1518","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU1528","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1534","Bacteria","","","","","",""
"OTU1537","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae","Geodermatophilus",NA
"OTU1538","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"OTU1540","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"OTU1554","Bacteria","Acidobacteria","Acidobacteria_Gp1","","","Gp1",NA
"OTU1558","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"OTU1560","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"OTU1561","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
